,1,2,3,4,5,6,7,8
VER,0,25,25,59,85,110,125,150
PER,0,12,30,54,66,85,110,129
LEC,26,45,71,86,104,104,116,116
RUS,12,22,37,49,59,74,84,99
SAI,18,33,33,38,53,65,83,83
HAM,15,16,28,28,36,46,50,62
NOR,0,6,16,35,35,39,48,50
BOT,8,8,12,24,30,38,40,40
OCO,6,14,20,20,24,30,30,31
GAS,0,4,6,6,6,6,6,16
ALO,2,2,2,2,2,4,10,16
RIC,0,0,8,11,11,11,11,15
MAG,10,12,12,15,15,15,15,15
VET,0,0,0,4,4,4,5,13
TSU,4,4,4,10,10,11,11,11
ALB,0,0,1,1,3,3,3,3
STR,0,0,0,1,2,2,2,2
ZHO,1,1,1,1,1,1,1,1
LAT,0,0,0,0,0,0,0,0
HUL,0,0,0,0,0,0,0,0
MSC,0,0,0,0,0,0,0,0
