,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Session
2,0 days 00:21:57.674000,1,0 days 00:01:37.766000,3,1,,,0 days 00:00:30.695000,0 days 00:00:41.580000,0 days 00:00:25.491000,0 days 00:20:50.603000,0 days 00:21:32.183000,0 days 00:21:57.674000,228.0,263.0,176.0,306.0,False,HARD,3.0,True,0 days 00:20:19.908000,Red Bull Racing,VER,2,True,2022-03-18 12:05:19.921000,Practice 1
5,0 days 00:39:39.617000,1,0 days 00:01:34.783000,6,2,,,0 days 00:00:30.119000,0 days 00:00:40.789000,0 days 00:00:23.875000,0 days 00:38:34.953000,0 days 00:39:15.742000,0 days 00:39:39.617000,232.0,263.0,278.0,309.0,False,MEDIUM,3.0,True,0 days 00:38:04.834000,Red Bull Racing,VER,1,True,2022-03-18 12:23:04.847000,Practice 1
7,0 days 00:43:23.119000,1,0 days 00:01:34.742000,8,2,,,0 days 00:00:30.224000,0 days 00:00:40.815000,0 days 00:00:23.703000,0 days 00:42:18.601000,0 days 00:42:59.416000,0 days 00:43:23.119000,231.0,263.0,279.0,310.0,True,MEDIUM,5.0,True,0 days 00:41:48.377000,Red Bull Racing,VER,1,True,2022-03-18 12:26:48.390000,Practice 1
11,0 days 01:00:16.005000,1,0 days 00:01:38.702000,12,4,,,0 days 00:00:31.520000,0 days 00:00:42.499000,0 days 00:00:24.683000,0 days 00:59:08.823000,0 days 00:59:51.322000,0 days 01:00:16.005000,,255.0,264.0,291.0,False,MEDIUM,9.0,False,0 days 00:58:37.303000,Red Bull Racing,VER,1,True,2022-03-18 12:43:37.316000,Practice 1
12,0 days 01:01:55.195000,1,0 days 00:01:39.190000,13,4,,,0 days 00:00:31.789000,0 days 00:00:42.890000,0 days 00:00:24.511000,0 days 01:00:47.794000,0 days 01:01:30.684000,0 days 01:01:55.195000,224.0,255.0,265.0,285.0,False,MEDIUM,10.0,False,0 days 01:00:16.005000,Red Bull Racing,VER,1,True,2022-03-18 12:45:16.018000,Practice 1
13,0 days 01:03:34.067000,1,0 days 00:01:38.872000,14,4,,,0 days 00:00:31.787000,0 days 00:00:42.524000,0 days 00:00:24.561000,0 days 01:02:26.982000,0 days 01:03:09.506000,0 days 01:03:34.067000,223.0,255.0,265.0,282.0,False,MEDIUM,11.0,False,0 days 01:01:55.195000,Red Bull Racing,VER,1,True,2022-03-18 12:46:55.208000,Practice 1
14,0 days 01:05:12.957000,1,0 days 00:01:38.890000,15,4,,,0 days 00:00:31.824000,0 days 00:00:42.433000,0 days 00:00:24.633000,0 days 01:04:05.891000,0 days 01:04:48.324000,0 days 01:05:12.957000,224.0,253.0,268.0,284.0,False,MEDIUM,12.0,False,0 days 01:03:34.067000,Red Bull Racing,VER,1,True,2022-03-18 12:48:34.080000,Practice 1
15,0 days 01:06:52.017000,1,0 days 00:01:39.060000,16,4,,,0 days 00:00:31.644000,0 days 00:00:42.611000,0 days 00:00:24.805000,0 days 01:05:44.601000,0 days 01:06:27.212000,0 days 01:06:52.017000,,254.0,266.0,289.0,False,MEDIUM,13.0,False,0 days 01:05:12.957000,Red Bull Racing,VER,1,True,2022-03-18 12:50:12.970000,Practice 1
16,0 days 01:08:31.879000,1,0 days 00:01:39.862000,17,4,,,0 days 00:00:31.830000,0 days 00:00:42.657000,0 days 00:00:25.375000,0 days 01:07:23.847000,0 days 01:08:06.504000,0 days 01:08:31.879000,226.0,253.0,264.0,284.0,False,MEDIUM,14.0,False,0 days 01:06:52.017000,Red Bull Racing,VER,1,True,2022-03-18 12:51:52.030000,Practice 1
17,0 days 01:10:11.244000,1,0 days 00:01:39.365000,18,4,,,0 days 00:00:32.009000,0 days 00:00:42.772000,0 days 00:00:24.584000,0 days 01:09:03.888000,0 days 01:09:46.660000,0 days 01:10:11.244000,223.0,254.0,268.0,282.0,False,MEDIUM,15.0,False,0 days 01:08:31.879000,Red Bull Racing,VER,1,True,2022-03-18 12:53:31.892000,Practice 1
18,0 days 01:11:50.003000,1,0 days 00:01:38.759000,19,4,,,0 days 00:00:31.695000,0 days 00:00:42.627000,0 days 00:00:24.437000,0 days 01:10:42.939000,0 days 01:11:25.566000,0 days 01:11:50.003000,227.0,255.0,269.0,283.0,False,MEDIUM,16.0,False,0 days 01:10:11.244000,Red Bull Racing,VER,1,True,2022-03-18 12:55:11.257000,Practice 1
19,0 days 01:13:29.253000,1,0 days 00:01:39.250000,20,4,,,0 days 00:00:31.819000,0 days 00:00:42.776000,0 days 00:00:24.655000,0 days 01:12:21.822000,0 days 01:13:04.598000,0 days 01:13:29.253000,226.0,256.0,266.0,282.0,False,MEDIUM,17.0,False,0 days 01:11:50.003000,Red Bull Racing,VER,1,True,2022-03-18 12:56:50.016000,Practice 1
20,0 days 01:15:08.851000,1,0 days 00:01:39.598000,21,4,,,0 days 00:00:31.794000,0 days 00:00:43.095000,0 days 00:00:24.709000,0 days 01:14:01.047000,0 days 01:14:44.142000,0 days 01:15:08.851000,223.0,256.0,266.0,287.0,False,MEDIUM,18.0,False,0 days 01:13:29.253000,Red Bull Racing,VER,1,True,2022-03-18 12:58:29.266000,Practice 1
24,0 days 00:22:12.260000,55,0 days 00:01:38.745000,2,1,,,0 days 00:00:32.149000,0 days 00:00:41.986000,0 days 00:00:24.610000,0 days 00:21:05.664000,0 days 00:21:47.650000,0 days 00:22:12.260000,231.0,258.0,264.0,278.0,False,HARD,2.0,True,0 days 00:20:33.515000,Ferrari,SAI,2,True,2022-03-18 12:05:33.528000,Practice 1
27,0 days 00:38:26.759000,55,0 days 00:01:37.429000,5,2,,,0 days 00:00:31.252000,0 days 00:00:41.875000,0 days 00:00:24.302000,0 days 00:37:20.582000,0 days 00:38:02.457000,0 days 00:38:26.759000,228.0,257.0,278.0,295.0,False,HARD,6.0,False,0 days 00:36:49.330000,Ferrari,SAI,1,True,2022-03-18 12:21:49.343000,Practice 1
28,0 days 00:40:03.934000,55,0 days 00:01:37.175000,6,2,,,0 days 00:00:31.005000,0 days 00:00:41.795000,0 days 00:00:24.375000,0 days 00:38:57.764000,0 days 00:39:39.559000,0 days 00:40:03.934000,227.0,254.0,278.0,302.0,False,HARD,7.0,False,0 days 00:38:26.759000,Ferrari,SAI,1,True,2022-03-18 12:23:26.772000,Practice 1
29,0 days 00:41:40.253000,55,0 days 00:01:36.319000,7,2,,,0 days 00:00:30.913000,0 days 00:00:41.460000,0 days 00:00:23.946000,0 days 00:40:34.847000,0 days 00:41:16.307000,0 days 00:41:40.253000,229.0,257.0,277.0,303.0,False,HARD,8.0,False,0 days 00:40:03.934000,Ferrari,SAI,1,True,2022-03-18 12:25:03.947000,Practice 1
31,0 days 00:45:16.935000,55,0 days 00:01:36.405000,9,2,,,0 days 00:00:30.814000,0 days 00:00:41.563000,0 days 00:00:24.028000,0 days 00:44:11.344000,0 days 00:44:52.907000,0 days 00:45:16.935000,230.0,256.0,281.0,307.0,False,HARD,10.0,False,0 days 00:43:40.530000,Ferrari,SAI,1,True,2022-03-18 12:28:40.543000,Practice 1
36,0 days 01:02:06.020000,55,0 days 00:01:34.611000,14,3,,,0 days 00:00:30.206000,0 days 00:00:40.722000,0 days 00:00:23.683000,0 days 01:01:01.615000,0 days 01:01:42.337000,0 days 01:02:06.020000,233.0,261.0,281.0,309.0,True,MEDIUM,5.0,True,0 days 01:00:31.409000,Ferrari,SAI,1,True,2022-03-18 12:45:31.422000,Practice 1
41,0 days 01:11:54.375000,55,0 days 00:01:37.012000,19,4,,,0 days 00:00:31.375000,0 days 00:00:41.552000,0 days 00:00:24.085000,0 days 01:10:48.738000,0 days 01:11:30.290000,0 days 01:11:54.375000,230.0,256.0,268.0,277.0,False,MEDIUM,10.0,False,0 days 01:10:17.363000,Ferrari,SAI,1,True,2022-03-18 12:55:17.376000,Practice 1
48,0 days 00:39:18.043000,47,0 days 00:01:39.910000,3,2,,,0 days 00:00:32.339000,0 days 00:00:42.951000,0 days 00:00:24.620000,0 days 00:38:10.472000,0 days 00:38:53.423000,0 days 00:39:18.043000,228.0,258.0,276.0,283.0,False,HARD,4.0,False,0 days 00:37:38.133000,Haas F1 Team,MSC,1,True,2022-03-18 12:22:38.146000,Practice 1
49,0 days 00:40:56.278000,47,0 days 00:01:38.235000,4,2,,,0 days 00:00:31.213000,0 days 00:00:42.507000,0 days 00:00:24.515000,0 days 00:39:49.256000,0 days 00:40:31.763000,0 days 00:40:56.278000,227.0,257.0,278.0,304.0,False,HARD,5.0,False,0 days 00:39:18.043000,Haas F1 Team,MSC,1,True,2022-03-18 12:24:18.056000,Practice 1
50,0 days 00:42:35.590000,47,0 days 00:01:39.312000,5,2,,,0 days 00:00:31.955000,0 days 00:00:42.952000,0 days 00:00:24.405000,0 days 00:41:28.233000,0 days 00:42:11.185000,0 days 00:42:35.590000,228.0,257.0,276.0,309.0,False,HARD,6.0,False,0 days 00:40:56.278000,Haas F1 Team,MSC,1,True,2022-03-18 12:25:56.291000,Practice 1
51,0 days 00:44:14.614000,47,0 days 00:01:39.024000,6,2,,,0 days 00:00:31.909000,0 days 00:00:42.592000,0 days 00:00:24.523000,0 days 00:43:07.499000,0 days 00:43:50.091000,0 days 00:44:14.614000,229.0,258.0,277.0,306.0,False,HARD,7.0,False,0 days 00:42:35.590000,Haas F1 Team,MSC,1,True,2022-03-18 12:27:35.603000,Practice 1
52,0 days 00:45:53.255000,47,0 days 00:01:38.641000,7,2,,,0 days 00:00:31.390000,0 days 00:00:42.789000,0 days 00:00:24.462000,0 days 00:44:46.004000,0 days 00:45:28.793000,0 days 00:45:53.255000,226.0,256.0,277.0,308.0,False,HARD,8.0,False,0 days 00:44:14.614000,Haas F1 Team,MSC,1,True,2022-03-18 12:29:14.627000,Practice 1
55,0 days 00:58:05.063000,47,0 days 00:01:36.536000,10,3,,,0 days 00:00:30.852000,0 days 00:00:41.864000,0 days 00:00:23.820000,0 days 00:56:59.379000,0 days 00:57:41.243000,0 days 00:58:05.063000,233.0,262.0,280.0,305.0,True,MEDIUM,3.0,True,0 days 00:56:28.527000,Haas F1 Team,MSC,1,True,2022-03-18 12:41:28.540000,Practice 1
57,0 days 01:01:46.708000,47,0 days 00:01:36.540000,12,3,,,0 days 00:00:30.723000,0 days 00:00:41.832000,0 days 00:00:23.985000,0 days 01:00:40.891000,0 days 01:01:22.723000,0 days 01:01:46.708000,232.0,262.0,280.0,307.0,False,MEDIUM,5.0,True,0 days 01:00:10.168000,Haas F1 Team,MSC,1,True,2022-03-18 12:45:10.181000,Practice 1
58,0 days 01:03:24.455000,47,0 days 00:01:37.747000,13,3,,,0 days 00:00:30.888000,0 days 00:00:42.416000,0 days 00:00:24.443000,0 days 01:02:17.596000,0 days 01:03:00.012000,0 days 01:03:24.455000,230.0,258.0,276.0,306.0,False,MEDIUM,6.0,True,0 days 01:01:46.708000,Haas F1 Team,MSC,1,True,2022-03-18 12:46:46.721000,Practice 1
59,0 days 01:05:02.869000,47,0 days 00:01:38.414000,14,3,,,0 days 00:00:31.084000,0 days 00:00:42.638000,0 days 00:00:24.692000,0 days 01:03:55.539000,0 days 01:04:38.177000,0 days 01:05:02.869000,229.0,257.0,279.0,303.0,False,MEDIUM,7.0,True,0 days 01:03:24.455000,Haas F1 Team,MSC,1,True,2022-03-18 12:48:24.468000,Practice 1
60,0 days 01:06:41.589000,47,0 days 00:01:38.720000,15,3,,,0 days 00:00:31.223000,0 days 00:00:42.832000,0 days 00:00:24.665000,0 days 01:05:34.092000,0 days 01:06:16.924000,0 days 01:06:41.589000,,259.0,277.0,306.0,False,MEDIUM,8.0,True,0 days 01:05:02.869000,Haas F1 Team,MSC,1,True,2022-03-18 12:50:02.882000,Practice 1
61,0 days 01:08:20.306000,47,0 days 00:01:38.717000,16,3,,,0 days 00:00:31.328000,0 days 00:00:42.874000,0 days 00:00:24.515000,0 days 01:07:12.917000,0 days 01:07:55.791000,0 days 01:08:20.306000,,249.0,277.0,301.0,False,MEDIUM,9.0,True,0 days 01:06:41.589000,Haas F1 Team,MSC,1,True,2022-03-18 12:51:41.602000,Practice 1
62,0 days 01:09:59.141000,47,0 days 00:01:38.835000,17,3,,,0 days 00:00:31.296000,0 days 00:00:42.970000,0 days 00:00:24.569000,0 days 01:08:51.602000,0 days 01:09:34.572000,0 days 01:09:59.141000,228.0,246.0,277.0,300.0,False,MEDIUM,10.0,True,0 days 01:08:20.306000,Haas F1 Team,MSC,1,True,2022-03-18 12:53:20.319000,Practice 1
63,0 days 01:11:37.836000,47,0 days 00:01:38.695000,18,3,,,0 days 00:00:31.101000,0 days 00:00:43.031000,0 days 00:00:24.563000,0 days 01:10:30.242000,0 days 01:11:13.273000,0 days 01:11:37.836000,230.0,240.0,278.0,,False,MEDIUM,11.0,True,0 days 01:09:59.141000,Haas F1 Team,MSC,1,True,2022-03-18 12:54:59.154000,Practice 1
64,0 days 01:13:17.395000,47,0 days 00:01:39.559000,19,3,,,0 days 00:00:31.258000,0 days 00:00:43.838000,0 days 00:00:24.463000,0 days 01:12:09.094000,0 days 01:12:52.932000,0 days 01:13:17.395000,,250.0,279.0,304.0,False,MEDIUM,12.0,True,0 days 01:11:37.836000,Haas F1 Team,MSC,1,True,2022-03-18 12:56:37.849000,Practice 1
