,Lap,Tyre,LapTimeSeconds,DeltaDeg,FuelDeg,AdjustedTime,FinalLapTime,TimeStr
0,1,SOFT,81.18372413793104,0.2825,0.06554696789536267,81.46622413793104,81.40067717003568,01:21.400
1,2,SOFT,81.18372413793104,0.3192249999999999,0.13109393579072534,81.50294913793104,81.37185520214031,01:21.371
2,3,SOFT,81.18372413793104,0.36072424999999986,0.196640903686088,81.54444838793104,81.34780748424495,01:21.347
3,4,SOFT,81.18372413793104,0.4076184024999998,0.2621878715814507,81.59134254043104,81.3291546688496,01:21.329
4,5,SOFT,81.18372413793104,0.4606087948249997,0.32773483947681337,81.64433293275604,81.31659809327923,01:21.316
5,6,SOFT,81.18372413793104,0.5204879381522496,0.393281807372176,81.70421207608328,81.3109302687111,01:21.310
6,7,SOFT,81.18372413793104,0.588151370112042,0.4588287752675387,81.77187550804308,81.31304673277555,01:21.313
7,8,SOFT,81.18372413793104,0.6646110482266074,0.5243757431629014,81.84833518615764,81.32395944299473,01:21.323
8,9,SOFT,81.18372413793104,0.7510104844960663,0.589922711058264,81.9347346224271,81.34481191136884,01:21.344
9,10,SOFT,81.18372413793104,0.8486418474805548,0.6554696789536267,82.03236598541159,81.37689630645797,01:21.376
10,11,SOFT,81.18372413793104,0.9589652876530269,0.7210166468489894,82.14268942558407,81.42167277873507,01:21.421
11,12,SOFT,81.18372413793104,1.0836307750479204,0.786563614744352,82.26735491297896,81.4807912982346,01:21.480
12,13,SOFT,81.18372413793104,1.22450277580415,0.8521105826397147,82.40822691373519,81.55611633109548,01:21.556
13,14,SOFT,81.18372413793104,1.3836881366586893,0.9176575505350774,82.56741227458973,81.64975472405465,01:21.649
14,15,SOFT,81.18372413793104,1.5635675944243188,0.9832045184304401,82.74729173235535,81.76408721392491,01:21.764
15,16,SOFT,81.18372413793104,1.76683138169948,1.0487514863258027,82.95055551963051,81.90180403330471,01:21.901
16,17,SOFT,81.18372413793104,1.9965194613204122,1.1142984542211654,83.18024359925145,82.06594514503028,01:22.065
17,18,SOFT,81.18372413793104,2.2560669912920654,1.179845422116528,83.4397911292231,82.25994570710657,01:22.259
18,19,SOFT,81.18372413793104,2.5493557001600338,1.2453923900118908,83.73307983809107,82.48768744807919,01:22.487
19,20,SOFT,81.18372413793104,2.880771941180838,1.3109393579072535,84.06449607911188,82.75355672120462,01:22.753
20,21,SOFT,81.18372413793104,3.2552722935343463,1.376486325802616,84.43899643146538,83.06251010566277,01:23.062
21,22,SOFT,81.18372413793104,3.678457691693811,1.4420332936979787,84.86218182962484,83.42014853592687,01:23.420
22,23,SOFT,81.18372413793104,4.156657191614006,1.5075802615933414,85.34038132954504,83.83280106795169,01:23.832
23,24,SOFT,81.18372413793104,4.697022626523826,1.573127229488704,85.88074676445487,84.30761953496616,01:24.307
24,25,SOFT,81.18372413793104,5.307635567971923,1.6386741973840668,86.49135970590297,84.8526855085189,01:24.852
25,26,SOFT,81.18372413793104,5.997628191808273,1.7042211652794295,87.18135232973931,85.47713116445988,01:25.477
26,27,SOFT,81.18372413793104,6.777319856743348,1.769768133174792,87.96104399467438,86.19127586149959,01:26.191
27,28,SOFT,81.18372413793104,7.658371438119982,1.8353151010701547,88.84209557605102,87.00678047498087,01:27.006
28,29,SOFT,81.18372413793104,8.653959725075579,1.9008620689655173,89.83768386300662,87.9368217940411,01:27.936
29,30,SOFT,81.18372413793104,9.778974489335402,1.9664090368608802,90.96269862726643,88.99628959040555,01:28.996
30,31,SOFT,81.18372413793104,11.050241172949004,2.0319560047562426,92.23396531088004,90.2020093061238,01:30.202
31,32,SOFT,81.18372413793104,12.486772525432373,2.0975029726516055,93.67049666336341,91.5729936907118,01:31.572
32,33,SOFT,81.18372413793104,14.110052953738581,2.1630499405469683,95.29377709166963,93.13072715112266,01:33.130
33,34,SOFT,81.18372413793104,15.944359837724596,2.2285969084423307,97.12808397565563,94.8994870672133,01:34.899
34,35,SOFT,81.18372413793104,18.01712661662879,2.2941438763376936,99.20085075455982,96.90670687822212,01:36.906
35,36,SOFT,81.18372413793104,20.35935307679053,2.359690844233056,101.54307721472156,99.1833863704885,01:39.183
36,37,SOFT,81.18372413793104,23.006068976773296,2.425237812128419,104.18979311470433,101.76455530257591,01:41.764
37,38,SOFT,81.18372413793104,25.99685794375382,2.4907847800237817,107.18058208168486,104.68979730166107,01:44.689
38,39,SOFT,81.18372413793104,29.376449476441813,2.556331747919144,110.56017361437284,108.0038418664537,01:48.003
39,40,SOFT,81.18372413793104,33.195387908379246,2.621878715814507,114.37911204631028,111.75723333049578,01:51.757
40,41,SOFT,81.18372413793104,37.51078833646854,2.6874256837098693,118.69451247439957,116.0070867906897,01:56.007
41,42,SOFT,81.18372413793104,42.38719082020945,2.752972651605232,123.57091495814049,120.81794230653526,02:00.817
42,43,SOFT,81.18372413793104,47.89752562683667,2.818519619500595,129.0812497647677,126.26273014526711,02:06.262
43,44,SOFT,81.18372413793104,54.12420395832543,2.8840665873959574,135.30792809625646,132.4238615088605,02:12.423
44,45,SOFT,81.18372413793104,61.16035047290773,2.9496135552913203,142.34407461083876,139.39446105554745,02:19.394
45,46,SOFT,81.18372413793104,69.11119603438573,3.0151605231866827,150.29492017231678,147.27975964913009,02:27.279
46,47,SOFT,81.18372413793104,78.09565151885586,3.0807074910820456,159.2793756567869,156.19866816570485,02:36.198
47,48,SOFT,81.18372413793104,88.24808621630712,3.146254458977408,169.43181035423817,166.28555589526076,02:46.285
48,49,SOFT,81.18372413793104,99.72033742442703,3.211801426872771,180.90406156235807,177.6922601354853,02:57.692
49,50,SOFT,81.18372413793104,112.68398128960253,3.2773483947681337,193.86770542753356,190.59035703276544,03:10.590
50,51,SOFT,81.18372413793104,127.33289885725084,3.342895362663496,208.51662299518188,205.1737276325184,03:25.173
51,52,SOFT,81.18372413793104,143.88617570869343,3.408442330558859,225.06989984662448,221.6614575160656,03:41.661
52,53,SOFT,81.18372413793104,162.59137855082355,3.4739892984542213,243.7751026887546,240.30111339030037,04:00.301
53,54,SOFT,81.18372413793104,183.7282577624306,3.539536266349584,264.91198190036164,261.3724456340121,04:21.372
54,55,SOFT,81.18372413793104,207.61293127154656,3.605083234244947,288.7966554094776,285.19157217523264,04:45.191
55,56,SOFT,81.18372413793104,234.60261233684759,3.6706302021403094,315.78633647477864,312.1157062726383,05:12.115
56,57,SOFT,81.18372413793104,265.10095194063774,3.7361771700356723,346.2846760785688,342.54849890853313,05:42.548
